,Confirmed,Deaths,Recovered,Active,Incident_Rate,Case_Fatality_Ratio
114,3674028,108993,0.0,3565035.0,6563.43654202068,2.966580548651235
115,3679671,109195,0.0,3570476.0,6573.517432097354,2.967520737587681
116,3684724,109406,0.0,3575318.0,6582.544321616659,2.969177610046234
117,3689842,109541,0.0,3580301.0,6591.687329841436,2.968717901742134
118,3694339,109602,0.0,3584737.0,6599.72095781854,2.9667553519046304
119,3698242,109664,0.0,3588578.0,6606.693439471785,2.965300810493202
120,3703136,109871,0.0,3593265.0,6615.436284773086,2.966971777434045
121,3707999,110027,0.0,3597972.0,6624.123750384085,2.96728774738073
122,3713743,110165,0.0,3603578.0,6634.385071064648,2.9664142079836973
123,3719272,110310,0.0,3608962.0,6644.262306796339,2.965903004674033
124,3723811,110416,0.0,3613395.0,6652.370965321596,2.9651343744352223
125,3727585,110456,0.0,3617129.0,6659.112996005517,2.963205399742729
126,3731849,110517,0.0,3621332.0,6666.730383084541,2.9614542281855454
127,3736240,110618,0.0,3625622.0,6674.574648249644,2.9606770443012227
128,3741067,110739,0.0,3630328.0,6683.197801962228,2.960091332232221
129,3746280,110822,0.0,3635458.0,6692.510522141158,2.958187855686174
130,3750089,110903,0.0,3639186.0,6699.315078281872,2.957343145722674
131,3754821,110985,0.0,3643836.0,6707.768520040302,2.9558000234898016
132,3759280,111011,0.0,3648269.0,6715.734263235746,2.952985678108574
133,3764026,111027,0.0,3652999.0,6724.212715176894,2.9496873826057524
134,3768609,111130,0.0,3657479.0,6732.399977133548,2.948833375921992
135,3773224,111222,0.0,3662002.0,6740.644405222126,2.947664914672439
136,3778510,111271,0.0,3667239.0,6750.08753563951,2.9448380446260565
137,3783783,111332,0.0,3672451.0,6759.5074423158,2.9423463237717384
138,3786746,111375,0.0,3675371.0,6764.800668843744,2.9411795773996987
139,3789899,111392,0.0,3678507.0,6770.433319279992,2.9391812288401358
140,3794011,111414,0.0,3682597.0,6777.779167232373,2.9365755660697874
141,3797395,111453,0.0,3685942.0,6783.824485683457,2.934985694140325
142,3800722,111489,0.0,3689233.0,6789.767976962049,2.933363713526009
143,3804506,111530,0.0,3692976.0,6796.527872062196,2.9315238299006494
144,3807387,111577,0.0,3695810.0,6801.674610377082,2.9305400265326327
145,3810234,111585,0.0,3698649.0,6806.760609676797,2.92856029314735
146,3812188,111595,0.0,3700593.0,6810.251316607476,2.9273215276896103
147,3814424,111611,0.0,3702813.0,6814.245800075745,2.926025004037307
148,3816361,111626,0.0,3704735.0,6817.706137498839,2.924932940044194
149,3818665,111666,0.0,3706999.0,6821.822098997449,2.924215661756137
150,3821151,111710,0.0,3709441.0,6826.263192871384,2.9234646838086222
151,3815779,111761,0.0,3704018.0,6816.66642847445,2.928917004889434
152,3817811,111794,0.0,3706017.0,6820.296477851697,2.9282224814167077
153,3819149,111797,0.0,3707352.0,6822.686736742817,2.92727515998983
154,3822371,111810,0.0,3710561.0,6828.442651651029,2.9251477682307656
155,3824441,111828,0.0,3712613.0,6832.140585809937,2.9240351727219744
156,3826495,111862,0.0,3714633.0,6835.809936902882,2.923354140015863
157,3828666,111887,0.0,3716779.0,6839.688301665678,2.922349455397781
158,3830891,111917,0.0,3718974.0,6843.663134276098,2.921435248353451
159,3832788,111948,0.0,3720840.0,6847.052014034285,2.920798123976593
160,3834283,111955,0.0,3722328.0,6849.722744260163,2.91984185830832
161,3836833,111957,0.0,3724876.0,6854.278170397948,2.917953426693317
162,3839002,111985,0.0,3727017.0,6858.152962277499,2.917034166692281
163,3840945,112005,0.0,3728940.0,6861.624018350329,2.9160792461230245
164,3843260,112016,0.0,3731244.0,6865.759630706788,2.914608951775316
165,3845537,112054,0.0,3733483.0,6869.827358281586,2.9138713266833736
166,3847341,112081,0.0,3735260.0,6873.050098968866,2.913206809586153
167,3848742,112088,0.0,3736654.0,6875.552903682214,2.9123282360833747
168,3850494,112091,0.0,3738403.0,6878.682749405115,2.911081019734091
169,3852904,112107,0.0,3740797.0,6882.988073715727,2.909675403280227
170,3854733,112134,0.0,3742599.0,6886.255475443573,2.908995253367743
171,3856836,112149,0.0,3744687.0,6890.012362176029,2.907797998151853
172,3858882,112163,0.0,3746719.0,6893.667421735992,2.906619067387912
173,3860524,112169,0.0,3748355.0,6896.600758880401,2.905538211911129
174,3861901,112182,0.0,3749719.0,6899.060688994805,2.904838834553242
175,3863354,112183,0.0,3751171.0,6901.656388672531,2.903772214505841
176,3865013,112186,0.0,3752827.0,6904.620095324525,2.902603432381728
177,3866919,112213,0.0,3754706.0,6908.025053057316,2.9018709727304866
178,3869113,112225,0.0,3756888.0,6911.944505977433,2.900535600795324
179,3871255,112238,0.0,3759017.0,6915.771063933173,2.899266516930556
180,3872997,112243,0.0,3760754.0,6918.883045239848,2.89809158127414
181,3874415,112245,0.0,3762170.0,6921.416219460781,2.897082527297669
182,3876424,112245,0.0,3764179.0,6925.005180680706,2.895581081945628
183,3878541,112263,0.0,3766278.0,6928.787077595878,2.894464696905357
184,3880345,112274,0.0,3768071.0,6932.009818283158,2.8934025196213224
185,3882574,112282,0.0,3770292.0,6935.991796660069,2.8919474554767017
186,3884402,112297,0.0,3772105.0,6939.257411946292,2.890972664518245
187,3886016,112304,0.0,3773712.0,6942.140728725267,2.8899520743095244
188,3887487,112307,0.0,3775180.0,6944.7685843522,2.888935705765704
189,3889132,112310,0.0,3776822.0,6947.707280821477,2.8877909003859985
190,3886364,112315,0.0,3774049.0,6942.762410409952,2.889976337779992
191,3887954,112318,0.0,3775636.0,6945.602852589983,2.888871627596417
192,3890081,112324,0.0,3777757.0,6949.402613921382,2.887446302532004
193,3892258,112330,0.0,3779928.0,6953.291697333914,2.8859854613954163
