Day,Confirmed,Deaths,Recovered,Active,Incident_Rate,Case_Fatality_Ratio,Day
2020-12-30,0.1060601600760608,0.23216428080556295,0.0,0.2530336131148726,0.10606016007606073,0.6142350290494387,2020-12-30
2020-12-31,0.11103396846920925,0.24171549043131857,0.0,0.2649279317638891,0.11103396846920921,0.6037096250216174,2020-12-31
2021-01-01,0.11613194626599195,0.24885560201740176,0.0,0.27717475609806735,0.11613194626599191,0.589971488116344,2021-01-01
2021-01-02,0.1210794339603118,0.2529206900166563,0.0,0.28912013066406156,0.12107943396031173,0.5735931792528113,2021-01-02
2021-01-03,0.12578631831991965,0.25748663413043216,0.0,0.3004699342942106,0.1257863183199196,0.5595359501245849,2021-01-03
2021-01-04,0.1311288174180339,0.261796326278639,0.0,0.31337071408173484,0.13112881741803384,0.5432004564174386,2021-01-04
2021-01-05,0.13664812731743958,0.27092821450619076,0.0,0.326600303746063,0.13664812731743953,0.532649741386592,2021-01-05
2021-01-06,0.1422799531813035,0.28122488439542004,0.0,0.340079065828177,0.14227995318130351,0.5235083690178441,2021-01-06
2021-01-07,0.14698563201272075,0.2929192922786623,0.0,0.35127643456744523,0.1469856320127207,0.5197084498496549,2021-01-07
2021-01-08,0.1531897823850833,0.30638416828765447,0.0,0.36608045191082267,0.15318978238508324,0.5127379619430916,2021-01-08
2021-01-09,0.15864047763830597,0.31652941656086564,0.0,0.37912194082839074,0.1586404776383059,0.5050509441774,2021-01-09
2021-01-10,0.16369274582452753,0.3223300292360196,0.0,0.3912857076899738,0.16369274582452747,0.494354628395198,2021-01-10
2021-01-11,0.16789551847908957,0.32809569846132336,0.0,0.4013845192108269,0.1678955184790895,0.48674924052407614,2021-01-11
2021-01-12,0.17202656220630946,0.3415023353872316,0.0,0.4111486579744578,0.17202656220630946,0.48752115631332277,2021-01-12
2021-01-13,0.17633612456642428,0.3578092786507169,0.0,0.4212860667913994,0.17633612456642422,0.4906708278497706,2021-01-13
2021-01-14,0.18079235952306494,0.3707849463618045,0.0,0.43185000015878633,0.18079235952306488,0.48992337031947847,2021-01-14
2021-01-15,0.18588983501643486,0.3840518094883114,0.0,0.4439671082637055,0.18588983501643486,0.48754119853051553,2021-01-15
2021-01-16,0.189683129928915,0.3973303204314351,0.0,0.45291264234890444,0.18968312992891495,0.48914012225750697,2021-01-16
2021-01-17,0.19322567497774545,0.40429571476826665,0.0,0.4613808402533644,0.1932256749777454,0.4853646939630954,2021-01-17
2021-01-18,0.19665479991597468,0.4108184920736607,0.0,0.469582521385467,0.19665479991597462,0.4815859266013592,2021-01-18
2021-01-19,0.19970589130576083,0.42837175171514097,0.0,0.4766336122354406,0.19970589130576077,0.48936365801809817,2021-01-19
2021-01-20,0.20322814329671574,0.4477304229322213,0.0,0.484792543197825,0.20322814329671568,0.49730736361711986,2021-01-20
2021-01-21,0.20668107741670982,0.46093904697564436,0.0,0.49291189971738475,0.20668107741670977,0.49960740284633626,2021-01-21
2021-01-22,0.21040967564962648,0.47551046556323007,0.0,0.5016729973560852,0.21040967564962643,0.5023148459247573,2021-01-22
2021-01-23,0.21347332462473162,0.4898722234517139,0.0,0.5088215585930163,0.21347332462473156,0.5066446665237445,2021-01-23
2021-01-24,0.21624403024951522,0.49629017040755696,0.0,0.5154243833776591,0.21624403024951516,0.5046193111312689,2021-01-24
2021-01-25,0.21826821254225504,0.5026731739135498,0.0,0.5202126466727788,0.21826821254225492,0.504665746313065,2021-01-25
2021-01-26,0.22006846797358648,0.5203778551710482,0.0,0.5242189482920818,0.22006846797358642,0.515324782269651,2021-01-26
2021-01-27,0.22237042405358254,0.5386416316261516,0.0,0.5294334918509627,0.22237042405358243,0.5249480258865948,2021-01-27
2021-01-28,0.22500068564415843,0.5513144561052031,0.0,0.5355636219018647,0.22500068564415832,0.5286521039225056,2021-01-28
2021-01-29,0.22768389001443923,0.5644066019824584,0.0,0.5418136967146616,0.22768389001443912,0.5325118582206048,2021-01-29
2021-01-30,0.22980250534877789,0.5771959046276774,0.0,0.5466972318165817,0.22980250534877783,0.5376170801321796,2021-01-30
2021-01-31,0.2317166831941233,0.5833459518013348,0.0,0.5512228869262896,0.2317166831941232,0.5375681443650002,2021-01-31
2021-02-01,0.2334059295712348,0.5876323483163081,0.0,0.5552406700197456,0.23340592957123474,0.5365579866249592,2021-02-01
2021-02-02,0.23491494948384806,0.6034267876486551,0.0,0.5585788475580247,0.234914949483848,0.5457644224590616,2021-02-02
2021-02-03,0.236649403168108,0.6170896765401325,0.0,0.5625099088786238,0.2366494031681079,0.5524736899743152,2021-02-03
2021-02-04,0.23851083915511362,0.6266059427160379,0.0,0.5668367146274713,0.2385108391551135,0.5552995172888269,2021-02-04
2021-02-05,0.24025021541281855,0.6369957951382014,0.0,0.5708483905538249,0.2402502154128185,0.5591569908246492,2021-02-05
2021-02-06,0.24188792545978094,0.6454288143687464,0.0,0.5746538885187946,0.24188792545978083,0.5616373061318256,2021-02-06
2021-02-07,0.24334118969357782,0.6492609460356656,0.0,0.5781073693719707,0.24334118969357776,0.5608114481619748,2021-02-07
2021-02-08,0.2445738422684906,0.6528018822871652,0.0,0.5810305038339574,0.24457384226849055,0.5603548121810591,2021-02-08
2021-02-09,0.24567047107922801,0.6641468556719042,0.0,0.5834592020473177,0.2456704710792279,0.5666559155454383,2021-02-09
2021-02-10,0.2468308924233859,0.674932733859038,0.0,0.5860547480659213,0.2468308924233858,0.5722865831769346,2021-02-10
2021-02-11,0.2480365210746922,0.6818515369294026,0.0,0.5888413262714938,0.24803652107469215,0.5746131917037143,2021-02-11
2021-02-12,0.249372547691951,0.6895041524466238,0.0,0.5919295985319346,0.24937254769195089,0.5771611474153715,2021-02-12
2021-02-13,0.2505476362957615,0.6958405646861495,0.0,0.594654127919745,0.2505476362957614,0.5790680844027121,2021-02-13
2021-02-14,0.25150191231932273,0.6984962668747742,0.0,0.5969189097680718,0.2515019123193226,0.5786035919341281,2021-02-14
2021-02-15,0.2523667783354127,0.700942308364297,0.0,0.5989706736278599,0.2523667783354126,0.5782162082283526,2021-02-15
2021-02-16,0.25329463319946277,0.7094801579443933,0.0,0.601047843302795,0.2532946331994627,0.5825377599682291,2021-02-16
2021-02-17,0.2543922666170257,0.7169114649458957,0.0,0.6035610647088554,0.25439226661702563,0.5854908142543434,2021-02-17
2021-02-18,0.2554712143476339,0.7213026918104201,0.0,0.6060926076162236,0.25547121434763387,0.5860572507767197,2021-02-18
2021-02-19,0.2565055575351891,0.726905291603089,0.0,0.6084902814207029,0.25650555753518905,0.5877024531720259,2021-02-19
2021-02-20,0.25740608709358503,0.7315294747999487,0.0,0.6105830854434207,0.2574060870935849,0.5889263944177836,2021-02-20
2021-02-21,0.2582507605124821,0.733742559957136,0.0,0.6125906334133862,0.258250760512482,0.5883912539671718,2021-02-21
2021-02-22,0.2591971001421217,0.7356644496989039,0.0,0.6148515066747673,0.25919710014212166,0.587355474048163,2021-02-22
2021-02-23,0.25992965943929075,0.7412903451248062,0.0,0.6165148547068302,0.2599296594392907,0.5898103860567241,2021-02-23
2021-02-24,0.26079804157927006,0.7457165154391808,0.0,0.6185336398642645,0.26079804157926995,0.5909488101052596,2021-02-24
2021-02-25,0.26166431404491575,0.748814834659243,0.0,0.6205751436833205,0.2616643140449157,0.5910486231749215,2021-02-25
2021-02-26,0.26240701987102255,0.7523091796442757,0.0,0.622307869133669,0.26240701987102244,0.5917881001308334,2021-02-26
2021-02-27,0.2630627267460393,0.7552677250649366,0.0,0.6238402795030524,0.2630627267460392,0.5923398921008594,2021-02-27
2021-02-28,0.2635730670134034,0.7566072239758656,0.0,0.6250531628896281,0.2635730670134033,0.592018364269195,2021-02-28
2021-03-01,0.2640490497273346,0.7577603578209263,0.0,0.6261864088171858,0.26404904972733456,0.5916445208905385,2021-03-01
2021-03-02,0.2646045973018471,0.7613362375222764,0.0,0.6274623181682601,0.264604597301847,0.5929401635196325,2021-03-02
2021-03-03,0.2651478886730882,0.7644112611091051,0.0,0.6287189288712904,0.2651478886730881,0.5938764320583232,2021-03-03
2021-03-04,0.265714788304729,0.7667641200656937,0.0,0.6300480927194996,0.2657147883047289,0.5941882460085315,2021-03-04
2021-03-05,0.26622241613366415,0.7692218093718332,0.0,0.6312309288439304,0.2662224161336641,0.5947377482694767,2021-03-05
2021-03-06,0.26673657390696515,0.7707942646150979,0.0,0.6324482093908199,0.2667365739069651,0.5945852858689014,2021-03-06
2021-03-07,0.2671883455964014,0.7715047814287211,0.0,0.6335318651215045,0.2671883455964013,0.5939344056111246,2021-03-07
2021-03-08,0.2675804436404018,0.7722269460589611,0.0,0.6344701702751474,0.2675804436404017,0.5934520065042457,2021-03-08
2021-03-09,0.2680720982208112,0.7746380440986337,0.0,0.6356151419635421,0.2680720982208111,0.5940061832045813,2021-03-09
2021-03-10,0.26856063852006146,0.7764551034908506,0.0,0.636764999385619,0.26856063852006135,0.5941109747346704,2021-03-10
